epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.439832,0.84668,1.75953,0.01101,0.89969,0.65331,0.90097,0.66566,1.57593,0.91707,0.01146,0,0,0
2,1.17434,1.33241,2.5586,0.01988,0.89549,0.65455,0.90138,0.66542,1.58278,0.9142,0.0115,1.16644e-06,1.16644e-06,1.16644e-06
3,1.85925,0.94768,2.61214,0.01204,0.87202,0.66045,0.9047,0.6643,1.57807,0.90649,0.01139,2.28575e-06,2.28575e-06,2.28575e-06
4,3.27676,1.152,3.17343,0.01774,0.84288,0.67369,0.90623,0.66483,1.58294,0.90978,0.01148,3.35794e-06,3.35794e-06,3.35794e-06
5,4.93146,1.25716,3.20565,0.02019,0.84468,0.67631,0.90616,0.66442,1.58073,0.91199,0.01147,4.38301e-06,4.38301e-06,4.38301e-06
6,5.79301,1.08552,3.21365,0.0132,0.86377,0.67825,0.90208,0.67358,1.57201,0.91449,0.01132,5.36095e-06,5.36095e-06,5.36095e-06
7,6.74875,1.33037,2.54047,0.01767,0.8446,0.68333,0.9021,0.65975,1.58162,1.00892,0.01163,6.29177e-06,6.29177e-06,6.29177e-06
8,7.57715,1.04929,2.5617,0.01605,0.95319,0.62318,0.90206,0.65876,1.62055,0.93176,0.0119,7.17546e-06,7.17546e-06,7.17546e-06
9,8.38319,1.19943,3.21881,0.01503,0.83253,0.68442,0.89906,0.65824,1.57925,1.02084,0.01162,8.01203e-06,8.01203e-06,8.01203e-06
10,9.30967,1.10026,2.78187,0.01578,0.96886,0.62054,0.90204,0.65836,1.57247,1.0338,0.01158,8.80148e-06,8.80148e-06,8.80148e-06
11,10.2273,1.23359,1.97771,0.0154,0.83728,0.68676,0.90202,0.66108,1.55674,1.02479,0.01145,9.5438e-06,9.5438e-06,9.5438e-06
12,11.444,0.94301,2.13525,0.0139,0.96985,0.62079,0.90189,0.65792,1.54916,1.03813,0.01133,1.0239e-05,1.0239e-05,1.0239e-05
13,12.9621,1.00287,2.19057,0.00979,0.85552,0.68423,0.90602,0.66087,1.54564,1.06256,0.01124,1.08871e-05,1.08871e-05,1.08871e-05
14,13.9008,1.12944,2.29977,0.0142,0.87494,0.68377,0.89218,0.67653,1.5409,1.09136,0.01122,1.1488e-05,1.1488e-05,1.1488e-05
