epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.460527,0.76293,2.19586,0.00926,0.77268,0.88333,0.8864,0.68384,1.41451,0.85505,0.00832,0,0,0
2,1.21534,1.14629,3.24475,0.01564,0.78381,0.88333,0.87845,0.68296,1.42222,0.8448,0.00832,1.16644e-06,1.16644e-06,1.16644e-06
3,1.91741,0.98152,2.39324,0.01198,0.79917,0.88333,0.8816,0.68393,1.42372,0.83477,0.00837,2.28575e-06,2.28575e-06,2.28575e-06
4,2.79145,1.11293,2.52974,0.01611,0.75167,0.88228,0.8409,0.67717,1.42014,0.81981,0.00838,3.35794e-06,3.35794e-06,3.35794e-06
5,3.72469,1.06171,3.44044,0.01661,0.73867,0.86667,0.83896,0.67736,1.43698,0.82347,0.00868,4.38301e-06,4.38301e-06,4.38301e-06
6,5.89034,1.07624,3.27361,0.01238,0.7406,0.86667,0.84104,0.67832,1.44163,0.82883,0.00873,5.36095e-06,5.36095e-06,5.36095e-06
7,6.95275,1.10683,3.2067,0.01482,0.8273,0.86667,0.84104,0.66177,1.43401,0.79857,0.00846,6.29177e-06,6.29177e-06,6.29177e-06
8,7.95013,1.06841,2.41109,0.01521,0.83117,0.86667,0.84104,0.65803,1.43066,0.7894,0.00846,7.17546e-06,7.17546e-06,7.17546e-06
9,8.99034,1.19002,3.11337,0.01751,0.8361,0.87131,0.84409,0.66026,1.40699,0.79669,0.00837,8.01203e-06,8.01203e-06,8.01203e-06
10,10.007,0.95065,2.11641,0.01412,0.8179,0.87622,0.84409,0.6602,1.40436,0.7915,0.00834,8.80148e-06,8.80148e-06,8.80148e-06
11,11.1141,0.83753,2.03644,0.00911,0.81087,0.87452,0.84409,0.66019,1.40995,0.78206,0.00836,9.5438e-06,9.5438e-06,9.5438e-06
12,12.1635,0.98572,1.71196,0.01431,0.79974,0.86972,0.84409,0.66015,1.41003,0.7822,0.00837,1.0239e-05,1.0239e-05,1.0239e-05
13,13.5168,1.01842,2.07228,0.00989,0.80431,0.86816,0.84409,0.65732,1.4036,0.7847,0.00838,1.08871e-05,1.08871e-05,1.08871e-05
14,16.0677,1.03054,1.82493,0.01217,0.847,0.83895,0.84595,0.65799,1.4007,0.81055,0.00843,1.1488e-05,1.1488e-05,1.1488e-05
15,17.5857,0.87721,2.34863,0.0122,0.85831,0.82231,0.84595,0.65828,1.39764,0.79035,0.00836,1.20418e-05,1.20418e-05,1.20418e-05
16,18.9129,1.19974,2.02319,0.02133,0.83043,0.82085,0.84677,0.6588,1.40343,0.77717,0.00843,1.25486e-05,1.25486e-05,1.25486e-05
