epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.415167,0.76326,1.94581,1.19754,0.63145,0.86667,0.86148,0.60601,1.42469,1.53162,1.17401,0,0,0
2,1.07459,1.17009,2.79281,1.48366,0.63781,0.86667,0.86143,0.60604,1.43103,1.531,1.17212,1.16644e-06,1.16644e-06,1.16644e-06
3,1.82572,1.03648,2.28901,1.38127,0.64693,0.86667,0.86236,0.60599,1.44603,1.52142,1.17171,2.28575e-06,2.28575e-06,2.28575e-06
4,2.64755,1.19409,2.17321,1.52833,0.66667,0.86667,0.86231,0.60597,1.44315,1.5275,1.17103,3.35794e-06,3.35794e-06,3.35794e-06
5,3.69324,0.98295,3.18767,1.4039,0.63878,0.86667,0.86235,0.59595,1.45414,1.55473,1.17255,4.38301e-06,4.38301e-06,4.38301e-06
6,4.6121,1.27562,2.88922,1.37282,0.6548,0.86667,0.86322,0.61733,1.45079,1.53561,1.17098,5.36095e-06,5.36095e-06,5.36095e-06
7,5.86732,1.0845,2.2388,1.35738,0.67174,0.86667,0.86354,0.61511,1.46162,1.52934,1.17381,6.29177e-06,6.29177e-06,6.29177e-06
8,6.60734,0.94029,2.17181,1.34819,0.66911,0.86667,0.86547,0.63482,1.48749,1.46373,1.20824,7.17546e-06,7.17546e-06,7.17546e-06
9,7.37358,1.08641,2.75162,1.34785,0.70337,0.78333,0.86582,0.63373,1.52898,1.41466,1.23073,8.01203e-06,8.01203e-06,8.01203e-06
10,8.09899,1.05849,2.04349,1.24951,0.77221,0.7656,0.86543,0.64039,1.53179,1.42097,1.22717,8.80148e-06,8.80148e-06,8.80148e-06
11,9.41353,1.22628,1.63848,1.46012,0.75543,0.76657,0.86544,0.61987,1.52381,1.45698,1.24719,9.5438e-06,9.5438e-06,9.5438e-06
12,10.3268,0.97343,1.50082,1.44369,0.76897,0.76655,0.86545,0.62135,1.52084,1.49755,1.24716,1.0239e-05,1.0239e-05,1.0239e-05
13,11.1824,0.99524,2.04552,1.35081,0.76823,0.76497,0.86547,0.61992,1.53575,1.43036,1.25072,1.08871e-05,1.08871e-05,1.08871e-05
14,12.0078,0.96538,1.51042,1.30307,0.768,0.76441,0.8663,0.61981,1.4785,1.58241,1.2098,1.1488e-05,1.1488e-05,1.1488e-05
15,12.778,0.81676,1.46187,1.26249,0.76661,0.764,0.86681,0.61996,1.48342,1.52618,1.21007,1.20418e-05,1.20418e-05,1.20418e-05
16,13.7109,1.13786,1.60692,1.61766,0.7598,0.76498,0.86678,0.61839,1.49183,1.53342,1.21101,1.25486e-05,1.25486e-05,1.25486e-05
17,14.5734,0.94813,0.76245,1.10986,0.74671,0.76665,0.86422,0.61738,1.48616,1.59042,1.21184,1.30081e-05,1.30081e-05,1.30081e-05
18,15.5405,0.79179,1.42587,1.25047,0.74671,0.76665,0.86422,0.61738,1.48616,1.59042,1.21184,1.34206e-05,1.34206e-05,1.34206e-05
19,17.3719,1.01443,2.52774,1.41822,0.71083,0.78333,0.8624,0.61124,1.48884,1.62099,1.21474,1.37859e-05,1.37859e-05,1.37859e-05
20,18.3319,1.13269,1.58908,1.49927,0.71083,0.78333,0.8624,0.61124,1.48884,1.62099,1.21474,1.41041e-05,1.41041e-05,1.41041e-05
21,19.0672,1.06707,2.3464,1.30387,0.66312,0.78333,0.86239,0.59999,1.48848,1.69208,1.21734,1.43752e-05,1.43752e-05,1.43752e-05
22,19.7437,1.07279,2.29355,1.39538,0.66312,0.78333,0.86239,0.59999,1.48848,1.69208,1.21734,1.45992e-05,1.45992e-05,1.45992e-05
23,20.5143,1.01918,1.02597,1.28616,0.6491,0.78333,0.85849,0.58816,1.45858,1.78702,1.22067,1.4776e-05,1.4776e-05,1.4776e-05
24,21.2313,0.88263,1.4065,1.15062,0.6491,0.78333,0.85849,0.58816,1.45858,1.78702,1.22067,1.49057e-05,1.49057e-05,1.49057e-05
25,22.6448,0.99702,1.31896,1.23844,0.64811,0.78333,0.85849,0.5877,1.46627,1.786,1.2233,1.49883e-05,1.49883e-05,1.49883e-05
26,23.7922,1.03116,1.22425,1.39706,0.64811,0.78333,0.85849,0.5877,1.46627,1.786,1.2233,1.50238e-05,1.50238e-05,1.50238e-05
27,24.5268,0.47275,0.79922,1.02345,0.6556,0.78333,0.8585,0.63446,1.49058,1.76887,1.23097,1.50121e-05,1.50121e-05,1.50121e-05
28,25.2305,0.77853,1.26591,1.2403,0.6556,0.78333,0.8585,0.63446,1.49058,1.76887,1.23097,1.49533e-05,1.49533e-05,1.49533e-05
29,25.9402,0.79979,0.88646,1.16105,0.66261,0.7776,0.85846,0.63356,1.48975,1.77231,1.23339,1.48474e-05,1.48474e-05,1.48474e-05
30,26.6543,1.03718,1.37181,1.76737,0.66261,0.7776,0.85846,0.63356,1.48975,1.77231,1.23339,1.46944e-05,1.46944e-05,1.46944e-05
31,28.4416,0.95346,1.30389,1.26063,0.65733,0.78333,0.85913,0.63454,1.48107,1.77145,1.23179,1.44942e-05,1.44942e-05,1.44942e-05
32,29.4693,1.03504,1.24018,1.28738,0.65733,0.78333,0.85913,0.63454,1.48107,1.77145,1.23179,1.42469e-05,1.42469e-05,1.42469e-05
33,30.4723,0.95045,1.13023,1.22894,0.65145,0.76667,0.8563,0.63371,1.50943,1.77268,1.23972,1.39525e-05,1.39525e-05,1.39525e-05
34,31.1574,0.98286,0.7745,1.46169,0.65145,0.76667,0.8563,0.63371,1.50943,1.77268,1.23972,1.3611e-05,1.3611e-05,1.3611e-05
35,31.9137,0.70527,0.90299,1.10516,0.62197,0.76667,0.85204,0.63199,1.50941,1.78857,1.2443,1.32223e-05,1.32223e-05,1.32223e-05
36,32.8856,1.15764,1.40054,1.34661,0.62197,0.76667,0.85204,0.63199,1.50941,1.78857,1.2443,1.27866e-05,1.27866e-05,1.27866e-05
37,33.6287,1.10841,0.79991,1.52785,0.61766,0.75,0.84973,0.62696,1.58029,1.69598,1.30571,1.23036e-05,1.23036e-05,1.23036e-05
38,34.2925,0.80312,1.31501,1.33872,0.61766,0.75,0.84973,0.62696,1.58029,1.69598,1.30571,1.17736e-05,1.17736e-05,1.17736e-05
39,35.0232,0.66381,0.84058,1.10947,0.61951,0.75,0.84895,0.62684,1.60111,1.72967,1.30891,1.11965e-05,1.11965e-05,1.11965e-05
40,35.7317,0.65999,1.03197,0.99649,0.61951,0.75,0.84895,0.62684,1.60111,1.72967,1.30891,1.05722e-05,1.05722e-05,1.05722e-05
41,37.099,0.65133,0.51176,1.01239,0.63225,0.75,0.84895,0.62434,1.60508,1.72394,1.30872,9.9008e-06,9.9008e-06,9.9008e-06
42,37.9501,0.75336,0.69928,1.09792,0.63225,0.75,0.84895,0.62434,1.60508,1.72394,1.30872,9.18228e-06,9.18228e-06,9.18228e-06
43,38.7499,0.70504,0.88045,1.04077,0.97294,0.52781,0.8515,0.6251,1.61141,1.71639,1.30713,8.41663e-06,8.41663e-06,8.41663e-06
44,39.509,0.61378,0.59714,0.80168,0.97294,0.52781,0.8515,0.6251,1.61141,1.71639,1.30713,7.60386e-06,7.60386e-06,7.60386e-06
45,40.2597,0.65517,0.57507,0.99061,0.97744,0.52725,0.85208,0.62526,1.60957,1.70611,1.30518,6.74397e-06,6.74397e-06,6.74397e-06
46,41.6271,0.62012,0.78125,1.06525,0.97744,0.52725,0.85208,0.62526,1.60957,1.70611,1.30518,5.83695e-06,5.83695e-06,5.83695e-06
47,42.7412,0.57738,0.73006,0.89321,0.98307,0.52649,0.85268,0.62597,1.60275,1.70464,1.30262,4.88281e-06,4.88281e-06,4.88281e-06
48,43.5115,0.55717,0.51956,0.86257,0.98307,0.52649,0.85268,0.62597,1.60275,1.70464,1.30262,3.88154e-06,3.88154e-06,3.88154e-06
49,44.2486,0.66387,0.85883,1.04437,0.98354,0.52651,0.8524,0.62498,1.60268,1.70555,1.30076,2.83315e-06,2.83315e-06,2.83315e-06
50,44.9282,0.83019,0.81071,1.11994,0.98354,0.52651,0.8524,0.62498,1.60268,1.70555,1.30076,1.73764e-06,1.73764e-06,1.73764e-06
