epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.643082,0.72621,1.1126,1.12336,0.7753,0.86059,0.92913,0.75921,1.34765,0.86882,1.181,0,0,0
2,1.68732,1.09811,2.38467,1.40959,0.78453,0.85906,0.92921,0.75987,1.34377,0.86481,1.17882,1.16644e-06,1.16644e-06,1.16644e-06
3,2.39255,0.87713,1.40578,1.24185,0.7887,0.85827,0.92977,0.76048,1.3513,0.7806,1.1908,2.28575e-06,2.28575e-06,2.28575e-06
4,3.004,1.07674,1.84589,1.39529,0.79057,0.85804,0.9304,0.76094,1.34526,0.78495,1.1901,3.35794e-06,3.35794e-06,3.35794e-06
5,3.65931,0.9447,2.2281,1.30004,0.78962,0.86048,0.93032,0.76078,1.35016,0.79306,1.18921,4.38301e-06,4.38301e-06,4.38301e-06
6,4.61302,1.07731,2.47062,1.24776,0.79482,0.85697,0.9305,0.76091,1.35521,0.79468,1.18795,5.36095e-06,5.36095e-06,5.36095e-06
7,6.02784,1.0057,2.29729,1.37378,0.79141,0.85489,0.93069,0.7607,1.37393,0.77328,1.18873,6.29177e-06,6.29177e-06,6.29177e-06
8,6.89922,0.93618,1.84425,1.28679,0.79818,0.84708,0.91776,0.75068,1.37559,0.77197,1.18843,7.17546e-06,7.17546e-06,7.17546e-06
9,7.79596,1.08073,2.28702,1.30748,0.80879,0.84295,0.918,0.75121,1.37803,0.77242,1.18873,8.01203e-06,8.01203e-06,8.01203e-06
10,8.67589,0.85223,1.62409,1.254,0.80944,0.84242,0.918,0.7325,1.38709,0.77255,1.18824,8.80148e-06,8.80148e-06,8.80148e-06
11,9.53686,0.97525,1.14182,1.23732,0.8155,0.84203,0.91913,0.7322,1.39197,0.7698,1.18874,9.5438e-06,9.5438e-06,9.5438e-06
12,10.7386,0.76241,1.0886,1.27824,0.82541,0.838,0.91962,0.73391,1.40347,0.73945,1.14939,1.0239e-05,1.0239e-05,1.0239e-05
13,11.7023,0.94385,1.5552,1.22393,0.83798,0.83358,0.91936,0.72386,1.40069,0.73912,1.1492,1.08871e-05,1.08871e-05,1.08871e-05
14,13.1203,0.94481,1.16514,1.26347,0.84806,0.82883,0.91984,0.72037,1.40125,0.74659,1.14988,1.1488e-05,1.1488e-05,1.1488e-05
15,14.4256,0.81647,0.8942,1.22113,0.85317,0.82552,0.92041,0.72049,1.40942,0.74843,1.15166,1.20418e-05,1.20418e-05,1.20418e-05
