epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3552,1.68749,2.83166,1.52062,0.59854,0.19552,0.17899,0.0913,1.53187,2.35413,1.48626,3.32005e-05,3.32005e-05,0.0668327
2,161.958,1.57568,2.45344,1.4272,0.61876,0.23062,0.20963,0.11074,1.41954,2.20694,1.38732,6.64689e-05,6.64689e-05,0.0335326
3,232.237,1.48945,2.32669,1.38635,0.6419,0.24771,0.24728,0.13598,1.32999,2.0406,1.34447,9.94774e-05,9.94774e-05,0.00023228
4,306.755,1.43235,2.19329,1.35401,0.30777,0.26806,0.2485,0.1402,1.30124,1.9701,1.32011,9.91232e-05,9.91232e-05,9.91232e-05
5,378.825,1.39765,2.13903,1.33606,0.29547,0.26541,0.25442,0.14535,1.28974,1.95729,1.31448,9.84449e-05,9.84449e-05,9.84449e-05
6,452.481,1.37059,2.08536,1.31571,0.6323,0.26599,0.25747,0.14901,1.25777,1.94468,1.29354,9.75773e-05,9.75773e-05,9.75773e-05
7,533.605,1.33757,2.03435,1.30361,0.65806,0.27034,0.27006,0.15753,1.23941,1.90083,1.30213,9.65239e-05,9.65239e-05,9.65239e-05
8,617.352,1.32778,2.00421,1.29528,0.30508,0.30281,0.27756,0.1648,1.22995,1.8471,1.29701,9.52889e-05,9.52889e-05,9.52889e-05
9,694.916,1.30683,1.96549,1.2859,0.64768,0.28289,0.27167,0.16269,1.22459,1.87362,1.28121,9.38772e-05,9.38772e-05,9.38772e-05
10,766.244,1.29544,1.95639,1.27394,0.32075,0.28063,0.27908,0.16746,1.20253,1.84039,1.27587,9.22942e-05,9.22942e-05,9.22942e-05
11,844.891,1.27552,1.91113,1.26655,0.33772,0.29143,0.28913,0.17368,1.21486,1.80749,1.27791,9.05463e-05,9.05463e-05,9.05463e-05
12,919.997,1.26388,1.87383,1.25595,0.66901,0.28057,0.28268,0.17194,1.20993,1.8646,1.27853,8.86404e-05,8.86404e-05,8.86404e-05
13,992.138,1.25877,1.87709,1.25299,0.43533,0.29711,0.29436,0.18256,1.19113,1.81647,1.26642,8.65839e-05,8.65839e-05,8.65839e-05
14,1068.75,1.24454,1.82715,1.24559,0.51417,0.2998,0.30667,0.18871,1.18906,1.76799,1.25345,8.43851e-05,8.43851e-05,8.43851e-05
15,1139.44,1.23921,1.81052,1.24033,0.41262,0.30192,0.30107,0.18278,1.19624,1.78363,1.26807,8.20525e-05,8.20525e-05,8.20525e-05
16,1206.03,1.23067,1.81332,1.23219,0.37983,0.32658,0.30466,0.18503,1.19433,1.79716,1.26371,7.95954e-05,7.95954e-05,7.95954e-05
17,1272.46,1.22621,1.79451,1.23284,0.53578,0.29907,0.30603,0.18878,1.18487,1.78941,1.26503,7.70234e-05,7.70234e-05,7.70234e-05
18,1338.82,1.20724,1.76573,1.22483,0.42202,0.30284,0.3061,0.18714,1.18231,1.80337,1.25074,7.43468e-05,7.43468e-05,7.43468e-05
19,1408.65,1.20575,1.7554,1.2195,0.42012,0.31424,0.31133,0.19266,1.18498,1.7732,1.25753,7.15761e-05,7.15761e-05,7.15761e-05
20,1485.48,1.20698,1.76479,1.22161,0.36582,0.32719,0.30796,0.19176,1.17137,1.7783,1.24243,6.87222e-05,6.87222e-05,6.87222e-05
21,1560.71,1.19871,1.73694,1.21223,0.42222,0.31499,0.30977,0.19073,1.17506,1.76684,1.25303,6.57963e-05,6.57963e-05,6.57963e-05
22,1643.28,1.19597,1.72806,1.2125,0.41853,0.31455,0.30617,0.19078,1.17754,1.75519,1.25622,6.28101e-05,6.28101e-05,6.28101e-05
23,1728.15,1.18408,1.70402,1.20685,0.45745,0.32237,0.31136,0.19249,1.16738,1.76415,1.24337,5.97754e-05,5.97754e-05,5.97754e-05
24,1807.71,1.182,1.69801,1.19691,0.42942,0.31667,0.30311,0.18526,1.17959,1.7945,1.25087,5.6704e-05,5.6704e-05,5.6704e-05
25,1893.85,1.17273,1.67923,1.1982,0.44473,0.30479,0.31377,0.18975,1.18776,1.78802,1.25507,5.36081e-05,5.36081e-05,5.36081e-05
26,1975.6,1.17329,1.66397,1.18921,0.4199,0.32016,0.30572,0.18612,1.18737,1.76183,1.24556,5.05e-05,5.05e-05,5.05e-05
27,2057.96,1.18178,1.66488,1.19794,0.38285,0.31544,0.30852,0.18608,1.18,1.81053,1.24587,4.73919e-05,4.73919e-05,4.73919e-05
28,2142.83,1.1625,1.64876,1.18905,0.41906,0.31928,0.30964,0.1882,1.17113,1.77306,1.23421,4.4296e-05,4.4296e-05,4.4296e-05
29,2228.47,1.15617,1.64434,1.18029,0.40578,0.33457,0.30449,0.18648,1.16896,1.78864,1.22924,4.12246e-05,4.12246e-05,4.12246e-05
