epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0053,1.68724,2.81955,1.53346,0.56652,0.37678,0.32537,0.16547,1.53192,2.20384,1.68098,3.32051e-05,3.32051e-05,0.0668281
2,151.869,1.5701,2.47185,1.4416,0.60939,0.3861,0.34642,0.17804,1.46573,2.02643,1.62825,6.6358e-05,6.6358e-05,0.0335279
3,223.765,1.49337,2.30547,1.39071,0.59445,0.39249,0.36619,0.18901,1.38844,1.87029,1.59269,9.87915e-05,9.87915e-05,0.000226997
4,295.441,1.43397,2.20836,1.36417,0.55949,0.44162,0.40175,0.22787,1.3458,1.81567,1.54655,9.75773e-05,9.75773e-05,9.75773e-05
5,367.155,1.39472,2.14864,1.3332,0.50162,0.44937,0.37945,0.20971,1.35298,1.76379,1.56417,9.57205e-05,9.57205e-05,9.57205e-05
6,438.831,1.37467,2.07485,1.3257,0.50624,0.39301,0.38907,0.22361,1.31198,1.74088,1.52366,9.33683e-05,9.33683e-05,9.33683e-05
7,511.416,1.33489,2.02156,1.30796,0.5421,0.47679,0.38515,0.22258,1.29557,1.72477,1.50005,9.05463e-05,9.05463e-05,9.05463e-05
8,583.387,1.32787,2.00443,1.2991,0.49532,0.45076,0.39101,0.22117,1.30927,1.72689,1.50244,8.72857e-05,8.72857e-05,8.72857e-05
9,656.516,1.31158,1.96826,1.29076,0.46867,0.44562,0.39674,0.22836,1.2943,1.71796,1.5132,8.3622e-05,8.3622e-05,8.3622e-05
10,728.816,1.29787,1.95057,1.28242,0.47064,0.45617,0.40894,0.23903,1.27027,1.67754,1.47924,7.95954e-05,7.95954e-05,7.95954e-05
11,800.893,1.28056,1.90461,1.28205,0.43997,0.46977,0.41342,0.24504,1.25301,1.68678,1.44637,7.525e-05,7.525e-05,7.525e-05
12,873.36,1.2735,1.89883,1.26585,0.42777,0.45348,0.4156,0.24024,1.27964,1.69614,1.50402,7.06335e-05,7.06335e-05,7.06335e-05
13,945.76,1.25644,1.87021,1.26067,0.43479,0.44031,0.41704,0.24539,1.25029,1.67057,1.43591,6.57963e-05,6.57963e-05,6.57963e-05
14,1018.34,1.25573,1.85604,1.25674,0.49378,0.44303,0.41107,0.24074,1.25744,1.64987,1.45406,6.07916e-05,6.07916e-05,6.07916e-05
15,1090.72,1.24816,1.84853,1.25246,0.47511,0.42278,0.40864,0.23719,1.25622,1.63484,1.44585,5.56742e-05,5.56742e-05,5.56742e-05
16,1163.71,1.24288,1.81965,1.24625,0.4616,0.4514,0.40918,0.23366,1.27006,1.64706,1.45154,5.05e-05,5.05e-05,5.05e-05
17,1235.02,1.23057,1.80813,1.23926,0.51104,0.43246,0.44017,0.26145,1.2675,1.64629,1.44742,4.53258e-05,4.53258e-05,4.53258e-05
18,1305.19,1.23077,1.80144,1.23886,0.51076,0.42919,0.40588,0.23685,1.28201,1.64837,1.45961,4.02084e-05,4.02084e-05,4.02084e-05
19,1375.16,1.21783,1.77236,1.23133,0.48329,0.44879,0.41736,0.24651,1.26481,1.60385,1.44846,3.52037e-05,3.52037e-05,3.52037e-05
20,1445.37,1.20749,1.75371,1.22643,0.47759,0.4469,0.44121,0.26608,1.25082,1.59397,1.43054,3.03665e-05,3.03665e-05,3.03665e-05
21,1535,1.15685,1.68245,1.20757,0.49771,0.42779,0.43652,0.26817,1.23336,1.62625,1.43152,2.575e-05,2.575e-05,2.575e-05
22,1603.31,1.1458,1.63734,1.20511,0.49714,0.42574,0.43247,0.26576,1.23586,1.64823,1.42323,2.14046e-05,2.14046e-05,2.14046e-05
23,1671.37,1.14072,1.63955,1.20196,0.52949,0.42851,0.43836,0.26891,1.23884,1.61344,1.42099,1.7378e-05,1.7378e-05,1.7378e-05
24,1739.43,1.13643,1.62522,1.19058,0.4679,0.44689,0.44255,0.27032,1.24091,1.61278,1.42305,1.37143e-05,1.37143e-05,1.37143e-05
25,1807.55,1.11739,1.61714,1.18957,0.43279,0.49635,0.44269,0.27083,1.24655,1.61946,1.42357,1.04537e-05,1.04537e-05,1.04537e-05
26,1876.61,1.12543,1.5989,1.19129,0.50421,0.43211,0.44489,0.27163,1.24414,1.622,1.42219,7.63174e-06,7.63174e-06,7.63174e-06
27,1944.75,1.11959,1.59911,1.18914,0.50078,0.43115,0.44645,0.27225,1.24033,1.61353,1.42031,5.2795e-06,5.2795e-06,5.2795e-06
28,2012.81,1.12555,1.59051,1.18977,0.49803,0.43355,0.44676,0.27175,1.24459,1.6105,1.42116,3.4227e-06,3.4227e-06,3.4227e-06
29,2080.74,1.11779,1.60032,1.18622,0.51328,0.43407,0.44723,0.27167,1.23918,1.6133,1.41703,2.08169e-06,2.08169e-06,2.08169e-06
30,2148.57,1.12311,1.59901,1.18648,0.50076,0.42957,0.44614,0.27172,1.24292,1.61467,1.41911,1.27117e-06,1.27117e-06,1.27117e-06
