epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4425,0.58662,2.83282,1.17035,0.66421,0.18654,0.36339,0.30491,0.61871,2.24136,1.07651,0.00033033,0.00033033,0.0672973
2,54.8719,0.67243,1.62902,1.19161,0.45195,0.58294,0.50958,0.44315,0.54381,1.27984,0.95606,0.000663592,0.000663592,0.0342972
3,79.8707,0.68789,1.39149,1.19148,0.55686,0.63429,0.6013,0.50407,0.62569,1.44068,1.12709,0.000996564,0.000996564,0.00129686
4,104.439,0.67821,1.23462,1.18273,0.57929,0.63174,0.64496,0.55806,0.58446,1.1842,1.00658,0.000999023,0.000999023,0.000999023
5,129.414,0.67572,1.15478,1.18135,0.59637,0.676,0.65924,0.57812,0.52412,1.08843,0.95974,0.000998264,0.000998264,0.000998264
6,154.324,0.64145,1.07178,1.15916,0.70149,0.61051,0.697,0.61469,0.51605,0.91732,0.92132,0.000997288,0.000997288,0.000997288
7,179.178,0.63161,1.00463,1.15013,0.76079,0.7104,0.80711,0.71061,0.50586,0.76583,0.91499,0.000996097,0.000996097,0.000996097
8,204.057,0.63835,0.96398,1.15048,0.72626,0.69659,0.76494,0.6773,0.49722,0.81168,0.89623,0.00099469,0.00099469,0.00099469
9,230.94,0.62388,0.88504,1.14176,0.69091,0.75386,0.76935,0.68389,0.47199,0.78126,0.85987,0.000993068,0.000993068,0.000993068
10,256.986,0.62348,0.82961,1.1396,0.71016,0.78964,0.81841,0.71285,0.52648,0.77054,0.94977,0.000991232,0.000991232,0.000991232
11,283.324,0.60761,0.80803,1.13649,0.73811,0.76805,0.81513,0.72866,0.46709,0.7141,0.88999,0.000989183,0.000989183,0.000989183
12,309.036,0.60422,0.78176,1.13433,0.76229,0.7692,0.82311,0.73431,0.47173,0.65346,0.886,0.000986922,0.000986922,0.000986922
13,334.09,0.60359,0.7572,1.13737,0.79226,0.77956,0.84518,0.75099,0.49125,0.657,0.88144,0.000984449,0.000984449,0.000984449
14,358.671,0.58519,0.73145,1.11246,0.76377,0.77031,0.82664,0.72996,0.48661,0.68758,0.89465,0.000981765,0.000981765,0.000981765
15,384.084,0.57352,0.71455,1.11186,0.80932,0.74318,0.83378,0.75022,0.46445,0.64305,0.84958,0.000978873,0.000978873,0.000978873
16,409.12,0.55451,0.6524,1.10337,0.8472,0.77936,0.8637,0.77483,0.44417,0.56544,0.84456,0.000975773,0.000975773,0.000975773
17,434.217,0.56385,0.64586,1.10579,0.78761,0.81889,0.84901,0.76806,0.4228,0.61666,0.81656,0.000972466,0.000972466,0.000972466
18,459.309,0.55829,0.62832,1.09933,0.76723,0.77625,0.83968,0.76318,0.42399,0.62522,0.81512,0.000968955,0.000968955,0.000968955
19,484.607,0.55945,0.61607,1.10036,0.80477,0.86844,0.8634,0.77697,0.43327,0.56894,0.82802,0.000965239,0.000965239,0.000965239
20,509.553,0.55478,0.60089,1.10417,0.8096,0.83219,0.87913,0.79717,0.42259,0.5347,0.82903,0.000961322,0.000961322,0.000961322
21,534.188,0.54281,0.5844,1.09389,0.84371,0.792,0.8554,0.76579,0.44946,0.56177,0.85961,0.000957205,0.000957205,0.000957205
22,558.948,0.56164,0.57207,1.09566,0.83947,0.79591,0.87712,0.79364,0.43421,0.55083,0.82823,0.000952889,0.000952889,0.000952889
23,583.334,0.53992,0.55856,1.08639,0.83214,0.8138,0.89029,0.80005,0.44624,0.51808,0.84007,0.000948377,0.000948377,0.000948377
24,607.997,0.53758,0.52781,1.0919,0.84669,0.80289,0.87522,0.78565,0.45148,0.55202,0.84501,0.000943671,0.000943671,0.000943671
25,633.048,0.53298,0.52566,1.09131,0.84427,0.81346,0.86691,0.78153,0.43605,0.57956,0.83986,0.000938772,0.000938772,0.000938772
