epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,615.811,1.39002,2.98463,1.84653,0.53912,0.41223,0.39002,0.18361,1.87638,1.82143,1.97588,0.00999413,0.00333138,0.00999413,0.00333138,0.00999413,0.00333138,0.00999413,0.00333138
2,1107.65,1.47012,2.14635,1.90766,0.45243,0.307,0.3034,0.1315,1.94268,2.24998,2.06092,0.0199746,0.0066582,0.0199746,0.0066582,0.0199746,0.0066582,0.0199746,0.0066582
3,1565.04,1.50268,2.37141,1.9656,0.2498,0.21614,0.13306,0.06248,1.92252,3.07947,2.17228,0.0298771,0.00995902,0.0298771,0.00995902,0.0298771,0.00995902,0.0298771,0.00995902
4,2016.55,1.48613,2.35758,1.97431,0.43138,0.34416,0.28187,0.14249,1.72206,2.15193,1.95015,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,2467.54,1.39805,2.15387,1.88166,0.53719,0.37602,0.37481,0.20701,1.57041,1.93849,1.80309,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,2918.18,1.35075,1.98148,1.82545,0.54948,0.40831,0.40882,0.23269,1.46054,1.74822,1.71732,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,3369.03,1.3168,1.88545,1.78561,0.59645,0.40698,0.43729,0.24767,1.47721,1.70508,1.69247,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,3818.99,1.28454,1.77603,1.75579,0.61835,0.43839,0.4614,0.27005,1.43846,1.61253,1.67041,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,4269.51,1.26622,1.69919,1.73103,0.65809,0.4671,0.4997,0.29762,1.39618,1.47575,1.62994,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,4720.48,1.24653,1.64531,1.71106,0.69501,0.44606,0.5087,0.30339,1.40953,1.47831,1.64762,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,5171.22,1.22892,1.57461,1.69514,0.66936,0.4547,0.51434,0.31585,1.38751,1.3888,1.60199,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,5622.38,1.21653,1.52749,1.67813,0.66805,0.51328,0.55343,0.34591,1.30525,1.32373,1.54788,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,6073.69,1.20143,1.48971,1.65945,0.71356,0.49235,0.55717,0.34721,1.30575,1.31288,1.54691,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,6525.55,1.19439,1.43912,1.65735,0.70973,0.51185,0.57641,0.36383,1.29645,1.29036,1.55173,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,6977.75,1.17474,1.39236,1.63364,0.71283,0.53594,0.59696,0.37354,1.30187,1.21951,1.53249,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,7428.93,1.16861,1.35778,1.62577,0.75075,0.50239,0.58848,0.38691,1.23489,1.2189,1.49047,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,7880.8,1.14722,1.30306,1.6102,0.68968,0.53663,0.59277,0.38716,1.23369,1.1965,1.49277,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,8333.13,1.14369,1.30877,1.60552,0.73853,0.54566,0.63256,0.40649,1.2258,1.15314,1.48523,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,8785.26,1.13105,1.25513,1.59083,0.73394,0.55041,0.6204,0.40675,1.21061,1.15466,1.4515,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,9237.05,1.11822,1.21636,1.57794,0.77447,0.542,0.64577,0.4166,1.24907,1.1104,1.47022,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,9688.75,1.11155,1.20561,1.57152,0.76927,0.55071,0.64743,0.43129,1.18251,1.082,1.43402,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,10141.4,1.08997,1.16519,1.55431,0.77578,0.55358,0.65412,0.43363,1.1791,1.06024,1.44449,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,10594.8,1.07886,1.13608,1.53944,0.7703,0.58205,0.66788,0.44422,1.18251,1.02042,1.42285,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,11047,1.07492,1.10091,1.53263,0.74647,0.58128,0.66069,0.44244,1.15908,1.0388,1.41962,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,11499.9,1.0599,1.08681,1.52249,0.75742,0.58431,0.66245,0.44164,1.14744,1.02323,1.41781,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,11953.2,1.04212,1.06117,1.50881,0.78169,0.58638,0.67673,0.44948,1.14698,0.99498,1.41288,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,12406.9,1.0404,1.03163,1.4991,0.77251,0.58878,0.66858,0.44336,1.14163,0.98707,1.40809,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,12860.1,1.02571,1.01451,1.48892,0.81664,0.58434,0.69181,0.46822,1.12725,0.96169,1.38782,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,13312.5,1.01718,0.98268,1.49279,0.78056,0.59996,0.68739,0.46964,1.11627,0.96998,1.38083,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,13765.5,1.01082,0.95358,1.47586,0.78268,0.61282,0.69727,0.46974,1.11638,0.94187,1.37877,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,14218.7,1.00024,0.92724,1.46572,0.79005,0.61189,0.69864,0.47858,1.11919,0.93547,1.37988,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,14671.4,0.98687,0.91957,1.45739,0.79824,0.61701,0.70611,0.48283,1.10892,0.93714,1.37492,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,15124.6,0.97672,0.8774,1.44549,0.81103,0.60508,0.70713,0.48443,1.11072,0.92396,1.37036,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,15577.2,0.96007,0.87189,1.43787,0.81547,0.61011,0.70633,0.48346,1.10556,0.92517,1.36675,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,16030.3,0.95781,0.85148,1.42518,0.81623,0.61208,0.70892,0.48273,1.11127,0.91576,1.36971,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,16482.9,0.94706,0.81645,1.41595,0.80619,0.62279,0.70623,0.48208,1.1097,0.91942,1.36759,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,16935,0.93772,0.7918,1.41501,0.83132,0.60236,0.70177,0.48278,1.10456,0.91338,1.36643,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,17386.7,0.92726,0.78265,1.39795,0.82689,0.60699,0.70736,0.48722,1.10217,0.90749,1.36329,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,17838.4,0.91842,0.77052,1.39045,0.81493,0.60736,0.70592,0.48652,1.10074,0.91298,1.36002,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,18289.5,0.91357,0.75305,1.38519,0.80523,0.60797,0.70923,0.48948,1.1002,0.91491,1.35838,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,18743.6,0.90129,0.74206,1.38032,0.82684,0.60256,0.71142,0.48985,1.09409,0.91095,1.35612,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
